Run_id,Seed,Size,Diversity,Avg_Diversity_per_bin,Empty_bin_ratio,Low_count_bin_ratio,Avg_number_diff_units,Avg_edit_distance,Quality
increase_archive_diversity_3_trial492,4,1.0,0.9496,0.9485,0.025,0.975,3.8914,5.2914,0.9695854873911662
increase_archive_diversity_3_trial492,1,1.0,0.9514,0.9336,0.025,0.975,4.0572,6.1675,0.9671398695382079
increase_archive_diversity_5_trial496,0,0.9712,0.9638,0.9329,0.0,1.0,4.1483,6.1652,0.9670800198104026
bin_filler_5_trial499,0,0.9532,0.9901,0.9435,0.025,0.975,4.3588,7.2266,0.9666915137634327
bin_filler_5_trial499,2,0.959,0.9918,0.9292,0.025,0.975,3.5368,6.9043,0.9660796181839715
bin_filler_1_trial432,1,0.9506,0.9904,0.9417,0.025,0.975,3.8127,7.6844,0.9656431477002816
increase_archive_diversity_3_trial492,3,1.0,0.9433,0.9363,0.025,0.975,4.027,5.2537,0.9652557531108419
increase_archive_diversity_5_trial496,4,0.9612,0.9593,0.9429,0.0,1.0,4.3635,6.4051,0.9647429201051541
bin_filler_2_trial478,1,0.9484,0.9921,0.9281,0.025,0.975,3.8425,5.5778,0.962763238980838
increase_archive_diversity_2_trial474,0,0.938,0.9803,0.9319,0.0,1.0,3.0776,4.4211,0.9618820254026661
bin_filler_3_trial485,3,0.955,0.9877,0.9355,0.025,0.95,4.2609,6.128,0.9599050745109947
increase_archive_diversity_4_trial495,1,1.0,0.9483,0.9006,0.0,0.975,3.9627,5.4408,0.9595955992297787
increase_archive_diversity_4_trial495,2,1.0,0.9421,0.9275,0.025,0.95,3.9588,5.6592,0.9581282043302015
bin_filler_4_trial492,1,0.9458,0.9855,0.9426,0.05,0.95,4.6399,9.978,0.9579014964439803
increase_archive_diversity_1_trial396,3,1.0,0.9455,0.9404,0.075,0.925,3.5324,5.8138,0.9567337754687375
increase_archive_diversity_1_trial396,1,0.959,0.955,0.9358,0.025,0.975,3.6853,5.9203,0.9563520512907941
bin_filler_2_trial478,3,0.933,0.9856,0.9416,0.05,0.95,5.0101,7.3861,0.9538915154251582
increase_archive_diversity_5_trial496,3,0.9278,0.953,0.9426,0.0,1.0,4.3576,6.3378,0.952756816090357
bin_filler_4_trial492,3,0.9262,0.9833,0.9453,0.05,0.95,4.7059,11.2928,0.9519337627419555
bin_filler_4_trial492,2,0.938,0.9845,0.9222,0.05,0.95,4.2531,8.693,0.95118465956909
increase_archive_diversity_1_trial396,4,0.9474,0.945,0.9364,0.025,0.975,3.7173,6.4288,0.9500000368028834
bin_filler_3_trial485,0,0.9106,0.9831,0.9422,0.05,0.95,4.0426,6.2618,0.9465445178750049
increase_archive_diversity_3_trial492,0,0.9236,0.945,0.9254,0.0,1.0,3.9684,5.754,0.9456579734666428
increase_archive_diversity_4_trial495,3,0.9404,0.9392,0.932,0.025,0.975,4.03,5.6165,0.9452716842788722
increase_archive_diversity_4_trial495,0,0.9082,0.9395,0.9277,0.0,1.0,3.9656,5.172,0.9398561011335049
increase_archive_diversity_1_trial396,0,0.9122,0.9502,0.9287,0.0,0.975,3.6941,5.9101,0.9394772328491185
increase_archive_diversity_5_trial496,1,0.896,0.947,0.9276,0.0,0.975,4.331,6.1556,0.9334178168974792
increase_archive_diversity_1_trial396,2,0.8874,0.94,0.9396,0.05,0.95,3.6906,6.1433,0.9261301769137826
increase_archive_diversity_4_trial495,4,0.939,0.9267,0.9167,0.05,0.9,4.1529,5.4168,0.9230503413945012
increase_archive_diversity_random_2_trial184,0,1.0,0.8787,0.9265,0.1,0.85,3.8362,11.3626,0.9189190319999627
increase_archive_diversity_random_1_trial168,0,1.0,0.8771,0.9085,0.1,0.85,3.852,11.6663,0.9148273463484732
increase_archive_diversity_2_trial474,3,0.838,0.9627,0.9173,0.025,0.95,3.0453,4.3568,0.9136754067027899
increase_archive_diversity_random_3_trial186,0,1.0,0.8776,0.9227,0.1,0.825,3.809,11.2611,0.9128244711466706
increase_archive_diversity_random_5_trial191,0,1.0,0.8787,0.9206,0.1,0.825,3.8301,11.3467,0.9127294109160836
increase_archive_diversity_random_4_trial187,2,1.0,0.8785,0.9207,0.1,0.825,3.833,11.4021,0.9126713043734291
increase_archive_diversity_random_4_trial187,0,1.0,0.8769,0.9215,0.1,0.825,3.8277,11.319,0.9123758035809608
increase_archive_diversity_random_1_trial168,3,1.0,0.8661,0.9256,0.125,0.825,3.8708,11.8002,0.9099379842619418
increase_archive_diversity_random_2_trial184,2,1.0,0.8664,0.9201,0.125,0.825,3.8374,11.4154,0.9089404221739271
increase_archive_diversity_random_4_trial187,4,1.0,0.8774,0.8978,0.1,0.825,3.8037,11.2671,0.9077948439073547
increase_archive_diversity_random_3_trial186,2,1.0,0.865,0.9149,0.125,0.825,3.8339,11.3602,0.9074829279895543
increase_archive_diversity_random_1_trial168,2,1.0,0.869,0.9015,0.1,0.825,3.878,11.8514,0.9060026500293119
increase_archive_diversity_random_4_trial187,1,1.0,0.8723,0.8951,0.1,0.825,3.8115,11.2952,0.9057212649880704
increase_archive_diversity_random_3_trial186,3,1.0,0.8773,0.8847,0.1,0.825,3.8109,11.3,0.9051262201423675
increase_archive_diversity_random_2_trial184,3,1.0,0.8763,0.8846,0.1,0.825,3.8117,11.3569,0.9047902096109425
increase_archive_diversity_random_5_trial191,3,1.0,0.8693,0.9117,0.1,0.8,3.7943,11.3134,0.9031436053411798
increase_archive_diversity_random_1_trial168,4,1.0,0.8685,0.887,0.075,0.825,3.8574,11.7469,0.9029632372023343
increase_archive_diversity_random_4_trial187,3,1.0,0.8751,0.8762,0.075,0.825,3.8192,11.3414,0.9027615459439047
increase_archive_diversity_random_2_trial184,1,1.0,0.8692,0.884,0.075,0.825,3.8073,11.3724,0.9025708175765246
increase_archive_diversity_random_5_trial191,1,1.0,0.8709,0.8713,0.075,0.825,3.8183,11.3794,0.900520179512276
increase_archive_diversity_random_1_trial168,1,1.0,0.8723,0.8688,0.075,0.825,3.8783,11.7793,0.9004492140204241
increase_archive_diversity_random_5_trial191,2,1.0,0.8647,0.8745,0.075,0.825,3.8288,11.384,0.8993030337058211
increase_archive_diversity_random_3_trial186,1,1.0,0.8776,0.8544,0.05,0.825,3.812,11.3342,0.8991471219628854
increase_archive_diversity_random_3_trial186,4,1.0,0.8713,0.8625,0.05,0.8,3.8417,11.3681,0.8939035734006031
increase_archive_diversity_random_2_trial184,4,1.0,0.8701,0.8588,0.05,0.8,3.8504,11.3992,0.8927934074167702
increase_archive_diversity_random_5_trial191,4,1.0,0.8753,0.849,0.05,0.8,3.8413,11.3523,0.8923756014535501
increase_archive_diversity_2_trial474,4,0.7244,0.9421,0.9228,0.05,0.95,2.979,4.0235,0.8745003207412525
increase_archive_diversity_2_trial474,2,0.695,0.945,0.9305,0.025,0.975,2.9235,4.0158,0.8730877524386429
bin_filler_random_1_trial5,4,0.6622,0.9312,0.8926,0.075,0.85,3.8351,10.1598,0.8265424106886873
increase_archive_diversity_2_trial474,1,0.5468,0.9671,0.9055,0.025,0.95,3.064,4.0936,0.8252631382826912
bin_filler_random_4_trial424,0,0.646,0.9234,0.9195,0.1,0.85,3.713,8.9935,0.8247404057673798
bin_filler_random_2_trial313,4,0.6532,0.9286,0.9006,0.1,0.85,3.819,10.0582,0.8246512785534512
bin_filler_random_1_trial5,2,0.6528,0.9246,0.9012,0.1,0.85,3.8398,10.2221,0.8234680439599362
bin_filler_random_2_trial313,2,0.65,0.9246,0.9012,0.1,0.85,3.8255,10.1465,0.8226089594453116
bin_filler_random_3_trial386,0,0.6536,0.9254,0.8938,0.075,0.85,3.7356,8.8709,0.8224676005812778
bin_filler_random_1_trial5,1,0.6574,0.9258,0.9095,0.1,0.825,3.8601,10.2139,0.8218674559170432
bin_filler_random_2_trial313,1,0.6552,0.9255,0.8825,0.075,0.85,3.8483,10.1053,0.8207137147262447
bin_filler_random_4_trial424,3,0.6482,0.9214,0.8947,0.1,0.85,3.7424,9.0935,0.819809773361738
bin_filler_random_4_trial424,4,0.6582,0.9257,0.8976,0.1,0.825,3.7435,9.1036,0.8196880133497314
bin_filler_random_5_trial441,4,0.6564,0.9232,0.902,0.1,0.825,3.6856,8.5049,0.8192688448284655
bin_filler_random_3_trial386,3,0.644,0.9203,0.8944,0.1,0.85,3.7649,9.0286,0.8181744374099424
bin_filler_random_2_trial313,0,0.655,0.9263,0.8686,0.05,0.85,3.8473,10.1661,0.8181103511392274
bin_filler_random_4_trial424,1,0.6494,0.9245,0.8739,0.075,0.85,3.737,9.133,0.8169475198623999
bin_filler_random_1_trial5,0,0.6548,0.9264,0.8626,0.05,0.85,3.8571,10.2217,0.8168790160814416
bin_filler_random_1_trial5,3,0.647,0.922,0.9006,0.1,0.825,3.8556,10.144,0.8158176456659099
bin_filler_random_3_trial386,4,0.6554,0.9253,0.8811,0.075,0.825,3.7839,9.0909,0.8154286899167782
bin_filler_random_5_trial441,0,0.6518,0.9222,0.8896,0.075,0.825,3.6459,8.46,0.815126273943512
bin_filler_random_3_trial386,2,0.6418,0.9203,0.9055,0.1,0.825,3.7579,9.0265,0.8147185296182825
bin_filler_random_3_trial386,1,0.6536,0.923,0.8814,0.075,0.825,3.746,9.0275,0.8142774077323882
bin_filler_random_4_trial424,2,0.6398,0.9199,0.8975,0.1,0.825,3.7534,9.1425,0.8123962065501189
bin_filler_random_5_trial441,2,0.6496,0.9236,0.877,0.075,0.825,3.6826,8.6188,0.8123575962059559
bin_filler_random_5_trial441,3,0.6466,0.9217,0.8564,0.05,0.85,3.7161,8.6554,0.811784664699852
bin_filler_random_2_trial313,3,0.638,0.9209,0.8933,0.1,0.825,3.8495,10.0351,0.8113346869834914
bin_filler_random_5_trial441,1,0.6456,0.9205,0.8772,0.075,0.8,3.706,8.6849,0.8052873184656212


Loading datasets ..
                                                  mean       std
Run_id                                                          
bin_filler_5_trial499                         0.976360  0.010375
bin_filler_1_trial432                         0.974964  0.007159
bin_filler_2_trial478                         0.969164  0.012543
bin_filler_3_trial485                         0.967310  0.015535
increase_archive_diversity_3_trial492         0.963553  0.010193
bin_filler_4_trial492                         0.961404  0.011017
increase_archive_diversity_5_trial496         0.959184  0.016953
increase_archive_diversity_1_trial396         0.945739  0.012994
increase_archive_diversity_4_trial495         0.945180  0.014946
increase_archive_diversity_random_4_trial187  0.908265  0.004281
increase_archive_diversity_random_1_trial168  0.906836  0.005700
increase_archive_diversity_random_2_trial184  0.905603  0.009518
increase_archive_diversity_random_3_trial186  0.903697  0.007354
increase_archive_diversity_random_5_trial191  0.901614  0.007379
increase_archive_diversity_2_trial474         0.889682  0.051098
bin_filler_random_1_trial5                    0.820915  0.004510
bin_filler_random_2_trial313                  0.819484  0.005155
bin_filler_random_4_trial424                  0.818716  0.004514
bin_filler_random_3_trial386                  0.817013  0.003404
bin_filler_random_5_trial441                  0.812765  0.005121
